cohort,id,vwrec,PC1_pre,PC1_post,PC1_delta,structure
1,122,14,4.335865755833648,4.372553483646084,0.03668772781243579,Thalamus
1,124,15,-1.8666136070991057,-3.863272381954483,-1.9966587748553772,Thalamus
1,125,13,2.142971180610034,3.0210175270867694,0.8780463464767352,Thalamus
1,126,13,3.2117874721183752,2.8734492418667243,-0.3383382302516509,Thalamus
1,127,14,-1.5894020903562902,-1.156920073275189,0.43248201708110123,Thalamus
1,128,14,2.299422994380292,1.5546584883206047,-0.7447645060596875,Thalamus
1,129,15,3.27226313980182,2.590786614568209,-0.6814765252336112,Thalamus
1,130,15,0.09012123279680455,-0.05873488824564808,-0.14885612104245263,Thalamus
1,137,10,-1.5329883284347043,-2.6516406547433604,-1.118652326308656,Thalamus
1,138,14,-2.3860401661761927,-2.5833990454588616,-0.19735887928266882,Thalamus
1,139,15,0.8401653267535397,-0.797264231033098,-1.6374295577866378,Thalamus
1,148,13,0.06031465482078465,0.500601988085023,0.44028733326423836,Thalamus
1,150,15,3.9052819758798627,3.3376851734993225,-0.5675968023805402,Thalamus
1,155,13,-1.075612195962866,-1.373974637490753,-0.29836244152788716,Thalamus
1,157,14,-1.1835623656357581,-0.9816570406223655,0.20190532501339264,Thalamus
1,159,15,-5.408820983163314,-4.834631426866895,0.5741895562964192,Thalamus
1,160,15,6.272230337880897,6.018092158952689,-0.25413817892820845,Thalamus
1,163,15,1.081882179600595,1.2735185643658358,0.1916363847652407,Thalamus
1,164,15,0.7229573325740286,1.137972615131433,0.4150152825574045,Thalamus
1,167,15,-4.032948231272457,-4.088744896874745,-0.05579666560228791,Thalamus
1,175,15,-1.3068741669375947,-0.07116044977638303,1.2357137171612118,Thalamus
1,176,15,-5.129246971106608,-6.13910611421837,-1.009859143111762,Thalamus
1,178,13,0.44182536946423506,0.7491799865680367,0.3073546171038017,Thalamus
1,179,15,-3.8607863733582257,-4.924777938424121,-1.0639915650658955,Thalamus
1,182,15,-6.012824956366885,-1.3049762542587064,4.707848702108179,Thalamus
1,183,13,2.711007580134888,2.4186800090167204,-0.29232757111816765,Thalamus
1,184,15,1.197619927342079,0.45619042368632473,-0.7414295036557541,Thalamus
1,186,14,8.014542447113781,6.59876880651299,-1.4157736406007908,Thalamus
1,187,14,7.9790661894649935,6.36121718277207,-1.6178490066929232,Thalamus
1,188,14,5.811065933438211,4.583732237003858,-1.2273336964343535,Thalamus
1,189,15,-3.591605233723896,-3.401293374914336,0.19031185880956025,Thalamus
1,190,14,5.88336045226911,6.585989872480391,0.7026294202112808,Thalamus
1,191,15,-5.279641728716008,-4.540689148945886,0.738952579770122,Thalamus
1,192,15,-3.1451855858274587,-3.1098897625209907,0.035295823306467966,Thalamus
1,194,14,0.6064284458268214,0.6331337083264217,0.026705262499600257,Thalamus
1,200,13,0.315305803587997,1.0558380783058077,0.7405322747178107,Thalamus
