roi,feature_base,feature_name,n,mean_pre,mean_post,mean_delta,median_delta,sd_delta,t_stat,p_ttest,w_stat,p_wilcoxon,cohens_d_paired,rank_biserial,q_ttest_fdr,q_wilcoxon_fdr,abs_mean_delta
Right_Hippocampus,Right_Hippocampus_original_shape_MajorAxisLength,original_shape_MajorAxisLength,96,47.37303544086861,47.481407482085025,0.1083720412164062,0.04276441658674557,0.7430176783093229,1.42907072665128,0.15626391360714378,2084.0,0.37257957589752755,0.14585392027683391,0.10481099656357384,0.7242519289428777,0.7336951648443619,0.1083720412164062
Left_Hippocampus,Left_Hippocampus_original_shape_SurfaceArea,original_shape_SurfaceArea,96,2440.7043966875913,2443.8969073153294,3.192510627737775,1.7601072008205847,41.0616526606605,0.761783467508799,0.44807631847024143,2083.0,0.37062345438196576,0.07774919957852523,0.10524054982817865,0.7647169168558787,0.7336951648443619,3.192510627737775
Left_Thalamus,Left_Thalamus_original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RobustMeanAbsoluteDeviation,96,4.80457278173452,4.82661089615085,0.022038114416330534,0.04748825673288959,0.32859704014196095,0.6571225984234341,0.512690958862074,2094.0,0.3924909572493501,0.06706729435788465,0.10051546391752575,0.8097598685406007,0.7611945837563154,0.022038114416330534
Right_Hippocampus,Right_Hippocampus_original_firstorder_Skewness,original_firstorder_Skewness,96,1.4794284446348873,1.4374591715473217,-0.04196927308756556,-0.10439318239093343,0.5277628547503129,-0.7791628608549546,0.4378204322640509,2102.0,0.4088754328970319,-0.079522976484242,0.09707903780068727,0.7647169168558787,0.7811351553853744,0.04196927308756556
Right_Thalamus,Right_Thalamus_original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterRow,96,33.77539135748938,33.92320388833695,0.14781253084755927,0.0,1.3727090415553886,1.0550386635631677,0.2940834446748114,1775.0,0.44639634428521535,0.10767943269323549,0.09346271705822262,0.7511187893877082,0.8003260873698994,0.14781253084755927
Right_Hippocampus,Right_Hippocampus_original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterRow,96,45.00182809184855,45.0816916834539,0.07986359160534524,0.005206638770332006,0.7552679512980202,1.0360563989133256,0.30280588733958386,1728.5,0.4323895802359251,0.1057420634201278,0.09691745036572619,0.7511187893877082,0.8003260873698994,0.07986359160534524
Left_Thalamus,Left_Thalamus_original_firstorder_Minimum,original_firstorder_Minimum,96,30.260416666666668,30.916666666666668,0.65625,1.0,7.4591210502381085,0.8620198722476274,0.39084731880489654,1863.0,0.4573525245001888,0.08797953479774287,0.09010989010989012,0.7647169168558787,0.8003260873698994,0.65625
Right_Thalamus,Right_Thalamus_original_firstorder_Median,original_firstorder_Median,96,94.546875,94.67708333333333,0.13020833333333334,0.0,1.6371425550678338,0.7792698954348,0.4377576971988131,1254.5,0.4626885192607231,0.0795339006553026,0.09585585585585588,0.7647169168558787,0.8003260873698994,0.13020833333333334
Left_Hippocampus,Left_Hippocampus_original_firstorder_Range,original_firstorder_Range,96,167.5625,169.60416666666666,2.0416666666666665,1.0,27.574937769330617,0.7254473754417068,0.4699609013465551,2125.5,0.4592150298819372,0.07404066271139324,0.08698453608247425,0.7812337061345331,0.8003260873698994,2.0416666666666665
Right_Hippocampus,Right_Hippocampus_original_shape_SurfaceVolumeRatio,original_shape_SurfaceVolumeRatio,96,0.5626572810140461,0.562020724175161,-0.0006365568388850829,-0.000589840518214535,0.009009644073013225,-0.692253516303898,0.49046673981241173,2111.0,0.42778630237232285,-0.07065282864966607,0.09321305841924399,0.7946802872909963,0.8003260873698994,0.0006365568388850829
Right_Thalamus,Right_Thalamus_original_shape_MinorAxisLength,original_shape_MinorAxisLength,96,20.865451953898702,20.845270082507877,-0.02018187139082502,-0.011799415022869297,0.3023784007848932,-0.6539526213998674,0.514722235161736,2120.0,0.4471968157915098,-0.06674375993271442,0.0893470790378007,0.8097598685406007,0.8003260873698994,0.02018187139082502
Right_Hippocampus,Right_Hippocampus_original_firstorder_Entropy,original_firstorder_Entropy,96,1.2078897993060507,1.2265298103226787,0.0186400110166283,0.016959799007147502,0.17590229437011587,1.0382699317048458,0.30177984836482624,2136.0,0.4829113875169443,0.10596798116463375,0.08247422680412375,0.7511187893877082,0.8241687680289183,0.0186400110166283
Left_Hippocampus,Left_Hippocampus_original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RobustMeanAbsoluteDeviation,96,6.256086577470456,6.32435422345502,0.06826764598456465,0.01426514084409991,0.8984988993302089,0.7444456469687392,0.4584444650739641,2141.0,0.49438183931536417,0.07597966567956306,0.0803264604810997,0.7721169938087816,0.8326430977942976,0.06826764598456465
Right_Hippocampus,Right_Hippocampus_original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RobustMeanAbsoluteDeviation,96,6.094274636106498,6.149736285573559,0.055461649467060996,0.06265598968268593,0.8481016855940249,0.640737985998688,0.5232355381554354,2146.0,0.5059964047443846,0.06539504685480575,0.07817869415807566,0.8097598685406007,0.8411368806140419,0.055461649467060996
Left_Hippocampus,Left_Hippocampus_original_firstorder_InterquartileRange,original_firstorder_InterquartileRange,96,14.200520833333334,14.380208333333334,0.1796875,0.0,2.28401283668851,0.7708234929090781,0.44272442817054714,1417.5,0.5357228158530932,0.0786718433073787,0.07984420642648493,0.7647169168558787,0.8698349219249106,0.1796875
Right_Hippocampus,Right_Hippocampus_original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterColumn,96,33.52048398946737,33.58682719759884,0.06634320813147414,0.2262978764402277,2.5379707743501605,0.2561211649302539,0.7984110672977788,2027.0,0.5436468262030691,0.026140256933597318,0.072523450011439,0.9318835584598261,0.8698349219249106,0.06634320813147414
Left_Thalamus,Left_Thalamus_original_firstorder_RootMeanSquared,original_firstorder_RootMeanSquared,96,95.47939338190035,95.44082923870455,-0.03856414319580622,-0.07626440718397731,1.4736372853019108,-0.2564063060551459,0.7981915586517239,2159.0,0.5368532028379842,-0.02616935902779184,0.07259450171821302,0.9318835584598261,0.8698349219249106,0.03856414319580622
Left_Hippocampus,Left_Hippocampus_original_shape_MinorAxisLength,original_shape_MinorAxisLength,96,22.16949919812947,22.200196472037998,0.03069727390852776,-0.019000660351229826,0.3715018124402762,0.8096074371904459,0.42018904979465876,2173.0,0.5711095419727302,0.08263021304495723,0.06658075601374569,0.7647169168558787,0.8914880655184082,0.03069727390852776
Left_Thalamus,Left_Thalamus_original_firstorder_Kurtosis,original_firstorder_Kurtosis,96,13.712327551824544,13.634611883489898,-0.07771566833464254,-0.33102632222364115,4.538890934306888,-0.16776233242389274,0.8671268745211366,2172.0,0.5686285352678575,-0.01712217135407113,0.0670103092783505,0.9651499125104824,0.8914880655184082,0.07771566833464254
Left_Thalamus,Left_Thalamus_original_firstorder_Mean,original_firstorder_Mean,96,94.77898351444217,94.74347792761041,-0.035505586831741244,-0.06929390795645674,1.453806626743621,-0.2392906158383743,0.8113957388518038,2177.0,0.5810847483982127,-0.024422496210015323,0.06486254295532645,0.9318835584598261,0.8961306963249545,0.035505586831741244
