ROI,n_subjects,n_rows,beta_time,p_time,beta_dose,p_dose,beta_time_dose,p_time_dose,q_time_dose_fdr
cerebellum.CerebNet_Cbm_Vermis_VII,95,190,1.5080395640715258,0.8869690444582864,3.7424116874669346,0.787708074302556,-11.149897306735777,0.3254244624554783,0.762880297231695
aseg+DKT_Left-Pallidum,95,190,-0.5440188837869732,0.9361398790808041,-5.656767299540619,0.7135426030449206,6.988904411950389,0.3354632562557168,0.7737297684607662
aseg+DKT_ctx-lh-entorhinal,95,190,-10.802523416690102,0.4003418286043384,6.8287642065254675,0.6969915180209543,12.806589407142132,0.3508525902909443,0.7831805432206812
aseg+DKT_ctx-lh-caudalanteriorcingulate,95,190,25.12910361269309,0.049045708003940834,-18.889063506551405,0.58416564616322,12.723207319967347,0.3510802834573318,0.7831805432206812
hypothalamus.HypVINN_L-Post-Hypothalamus,95,190,-0.2884309282157069,0.9223123364187417,-0.7090320589323305,0.8284359330611841,-2.832288140239861,0.37022211295419005,0.7831805432206812
aseg+DKT_ctx-rh-transversetemporal,95,190,-2.9231682280678934,0.578701420806256,14.714697191474539,0.32144371718562015,5.030469286434276,0.3712200145648664,0.7831805432206812
aseg+DKT_Right-Accumbens-area,95,190,1.8778005762188867,0.6450326399595026,3.196334565991404,0.6346562734054786,-3.873651506221642,0.3738843274928897,0.7831805432206812
aseg+DKT_ctx-lh-lateralorbitofrontal,95,190,-17.13238707937556,0.6050845525003057,129.4556331671421,0.024569718287620574,31.469026354868095,0.374128024003198,0.7831805432206812
aseg+DKT_Left-choroid-plexus,95,190,5.071386333033349,0.36306236891171506,-17.845496456518706,0.3616379955665969,5.25395219635424,0.3778983040715175,0.7831805432206812
aseg+DKT_ctx-lh-paracentral,95,190,-13.456725115631167,0.46373761397296254,28.325095818777864,0.5323945547801476,-16.793155526513893,0.39221058057661295,0.7978798446486388
aseg+DKT_ctx-lh-insula,95,190,-44.35423980322669,0.006519161754551188,4.833750291846312,0.8976930388856651,-14.577909671524345,0.40277684789138,0.7978798446486388
hypothalamus.HypVINN_L-Ant-Hypothalamus,95,190,-0.09300390501335246,0.9568188762663405,4.482892691868128,0.0518213714539304,-1.5224448689172805,0.4068947975527457,0.7978798446486388
aseg+DKT_ctx-rh-lingual,95,190,-20.485245636986683,0.45324824468954095,37.59440985349439,0.6505929024496263,-24.066833000513427,0.40963420842143394,0.7978798446486388
cerebellum.CerebNet_Cbm_Vermis_VIII,95,190,2.71794629131977,0.8814601836270377,3.670586861391094,0.9090118753177958,-15.949677787597025,0.4128888706573376,0.7978798446486388
hypothalamus.HypVINN_L-Lat-Hypothalamus,95,190,2.2473255967250245,0.06585036151682734,-0.19351859682188416,0.8993790369725918,-1.0533007277533093,0.4198376722713387,0.8004904951306858
aseg+DKT_Right-VentralDC,95,190,-12.856363575083947,0.20452479384708155,1.7189110141557262,0.941621434801931,-8.592791813621137,0.4274823720051739,0.804341831536051
aseg+DKT_ctx-rh-medialorbitofrontal,95,190,7.001454067228617,0.6355144437570447,-29.676613884217097,0.38509442559782925,12.323313528965144,0.43501263928816747,0.8078806158208824
hypothalamus.HypVINN_R-N.opticus,94,187,2.7518679240898796,0.6244383622319671,8.764763014456173,0.18659887008343135,-4.565274416897338,0.44634810525165713,0.8183048596280381
aseg+DKT_ctx-lh-middletemporal,95,190,-70.48931616100502,0.059827441814504334,176.00637125149854,0.20155889585669517,-29.849131491962027,0.4557896550168328,0.8250369704735075
cerebellum.CerebNet_Cbm_Left_I_IV,95,190,17.383750627366194,0.2663691998719615,28.40699774782181,0.43758873969018475,-11.983477635479652,0.47340575699765153,0.838029282878661
aseg+DKT_ctx-lh-precentral,95,190,-3.788775247575575,0.9050059662921552,-45.31664812620719,0.670943028923679,24.25320657886369,0.47468791547672406,0.838029282878661
aseg+DKT_ctx-lh-parstriangularis,95,190,-32.030529686465705,0.08666954426581505,-96.33163390905472,0.23026035147922408,14.087261319205595,0.4807278865483513,0.8383425338587102
hypothalamus.HypVINN_R-Optic-tract,95,190,-1.9761176303234327,0.5535512753055813,-4.106451235344507,0.36581388485684896,2.4794761305663666,0.4867000303096085,0.8385313775213737
aseg+DKT_ctx-rh-precentral,95,190,-25.41631235387692,0.39415316343162365,-48.87764790671449,0.6134022784128692,-20.9048657319251,0.5119253974547662,0.8551387495169662
aseg+DKT_Right-Amygdala,95,190,-1.3410421441309053,0.8940585477763908,-4.309738459989788,0.7638095276858943,7.0173546398088975,0.5143679673699191,0.8551387495169662
hypothalamus.HypVINN_Epiphysis,76,145,1.3208898762783268,0.8355068750712227,-12.459035992511833,0.13681249946338078,-4.257284534293265,0.5150511515617638,0.8551387495169662
aseg+DKT_Left-Accumbens-area,95,190,-1.3780991897533523,0.6947180279565701,5.535181338245789,0.4002071212464662,2.412744716251487,0.5202592392166159,0.8551387495169662
hypothalamus.HypVINN_R-Ant-Hypothalamus,95,190,1.1619782716609572,0.44980205557505315,4.9328873795311425,0.034007715846327405,-1.034395170296029,0.5290106005751385,0.857980837045816
hypothalamus.HypVINN_L-N.opticus,85,164,6.7825134823657995,0.1229486437037012,-2.6153993176995964,0.600568734041363,-2.8261582588866183,0.5339880734061372,0.857980837045816
aseg+DKT_ctx-lh-superiorparietal,95,190,-14.989368180169233,0.6666822380759314,-107.19294664730022,0.26896922295227144,22.527932691282544,0.5446934543548925,0.8611055325279242
aseg+DKT_Right-choroid-plexus,95,190,8.765495410327484,0.19372257959892647,-8.499924493558225,0.6466331781283348,4.330301508402333,0.5479762479723154,0.8611055325279242
aseg+DKT_ctx-rh-superiorfrontal,95,190,-98.80414547565348,0.0921183515080408,-237.7309709414416,0.19230988671247762,-36.1916785936864,0.5637137379860638,0.8762072231739906
aseg+DKT_Left-Lateral-Ventricle,95,190,66.25910826507898,0.10207853023609391,-419.87268739096527,0.5340175848477267,-22.935121711446012,0.5960976138413259,0.9165802019280602
cerebellum.CerebNet_Cbm_Right_I_IV,95,190,6.287525523384016,0.6827630676234046,18.039539968966796,0.6056179134602624,-8.299393918319655,0.6136993255185232,0.9336064207356258
aseg+DKT_3rd-Ventricle,95,190,1.7148182585084881,0.7283382870511017,-21.147639868876702,0.3909530764838901,2.611419466826434,0.6205880212113093,0.9341482845601813
cerebellum.CerebNet_Cbm_Left_CrusI,95,190,-36.53161606585088,0.5114426072286034,33.07695584964916,0.8294616116014646,-27.542751506157447,0.6432007375339373,0.9516823989917227
cerebellum.CerebNet_Cbm_Left_VIIIb,95,190,1.5473698562910787,0.9642312955895016,16.406884946219677,0.7506995191850401,-16.39559999937379,0.6565970353050044,0.9516823989917227
